data_extracao;codigo;nome;telefone;logradouro;numero;latitude;longitude
10/03/2020 01:58;1;RODOVIÁRIA;3221-9371 ;LG VESPASIANO JULIO VEPPO ;0;-30,02399616;-51,21945127
10/03/2020 01:58;458;AV. DAS INDÚSTRIAS X AV. SEVERO DULLIUS; ;AV. DAS INDÚSTRIAS ;1344;-29,98727767;-51,16983678
10/03/2020 01:58;327;DOM PEDRO II X CORCOVADO; ;R DOM PEDRO II ;1551;-30,0206083;-51,18628405
10/03/2020 01:58;24;SHOPPING CENTER IGUATEMI II;4141-4695;AV JOAO WALLIG ;1800;-30,02544875;-51,16320928
10/03/2020 01:58;60;RAMALHETE X TENENTE ALPOIN;3339-1241 ;R RAMALHETE;105;-30,06730172;-51,17682511
10/03/2020 01:58;68;MUCIO TEIXEIRA C/ AURELIANO DE FIGUEIREDO PINTO;3226-5109 ;R MUCIO TEIXEIRA ;10;-30,04380072;-51,22332745
10/03/2020 01:58;105;MARCILIO DIAS X GETULIO VARGAS;3231-0808 ;R MARCILIO DIAS ;763;-30,04979262;-51,22185944
10/03/2020 01:58;183;SILVEIRO X RADIO E TV GAUCHA; ;R SILVEIRO ;1220;-30,07053473;-51,23092541
10/03/2020 01:58;113;HOFFMANN X CRISTÓVÃO COLOMBO;3222-8176 ;R HOFFMANN ;710;-30,02150405;-51,20741691
10/03/2020 01:58;121;MAXXI ATACADO HUMAITÁ;3374-1663 ;AV A J RENNER ;1603;-29,98239065;-51,1926002
10/03/2020 01:58;100;JOÃO PESSOA X VENÂNCIO AIRES;3212-4398 ;AV JOAO PESSOA ;1105;-30,0411891;-51,2164531
10/03/2020 01:58;267;DAN INN CONCEIÇÃO;3226-6498;R VIGARIO JOSE IGNACIO ;618;-30,031065;-51,22580341
10/03/2020 01:58;295;PINTO BANDEIRA X VOLUNTÁRIOS DA PÁTRIA; ;R PINTO BANDEIRA ;280;-30,02669815;-51,22243251
10/03/2020 01:58;399;SIOMA BREITMAN X NILO PEÇANHA; ;RUA SIOMA BREITMAN ;495;-30,03459673;-51,1851928
10/03/2020 01:58;40;FREDERICO MENTZ, 1530; ;R FREDERICO MENTZ ;1561;-29,9960514;-51,20227883
10/03/2020 01:58;85;SANTA TERESINHA X VENÂNCIO AIRES;3330-5831 ;R SANTA TEREZINHA ;79;-30,03783291;-51,21101678
10/03/2020 01:58;411;24 DE OUTUBRO X AUXILIADORA; ;R VINTE QUATRO DE OUTUBRO ;1728;-30,02167571;-51,19145272
10/03/2020 01:58;66;FORUM CENTRAL;3224-1379 ;R MARCIO L VERAS VIDOR ;10;-30,04447918;-51,23082236
10/03/2020 01:58;453;FERNANDO FERRARI; ;R. FERNANDO FERRARI ;1001;-29,97496724;-51,16697462
10/03/2020 01:58;456;VENÂNCIO AIRES X JOÃO PESSOA; ;AV VENANCIO AIRES ;355;-30,04125344;-51,21639437
10/03/2020 01:58;475;Paraguai x Cabral;;R PARAGUAI;50;-30,028339;-51,228538
10/03/2020 01:58;397;SERTÓRIO X FARRAPOS; ;AV SERTORIO ;615;-29,99996176;-51,1996065
10/03/2020 01:58;438;BARÃO DO COTEGIPE X DOM PEDRO II; ;R BARAO DO COTEGIPE ;400;-30,009261;-51,18861681
10/03/2020 01:58;370;CEL. MARCOS X DÉA COFAL; ;AV CEL MARCOS ;2519;-30,13227987;-51,23363663
10/03/2020 01:58;401;TIBURCIO X CORTE REAL X IPIRANGA; ;R GEN TIBURCIO ;50;-30,04959918;-51,19478025
10/03/2020 01:58;2;SALDANHA MARINHO X GETÚLIO VARGAS;3233-5680 ;R SALDANHA MARINHO ;30;-30,05765501;-51,22255491
10/03/2020 01:58;56;PEDRO AUGUSTO BITTENCOURT X JUCA BATISTA;3248-2310 ;AV CEL PEDRO AUGUSTO BITTENCOURT ;10;-30,14246623;-51,21793113
10/03/2020 01:58;112;HOSPITAL PRONTO SOCORRO (HPS);3331-4731 ;R AUGUSTO PESTANA ;10;-30,03718481;-51,20923717
10/03/2020 01:58;167;ESCOBAR X OTTO NIEMEYER; ;TRAV. ESCOBAR ;336;-30,10403906;-51,23629647
10/03/2020 01:58;347;GENUINO X BORGES DE MEDEIROS; ;R CEL GENUINO ;342;-30,03680718;-51,22788287
10/03/2020 01:58;447;GUILHERME SCHELL (ESPM); ;R. GUILHERME SCHELL ;268;-30,05447338;-51,20725664
10/03/2020 01:58;150;ARY DE ABREU LIMA X AV DO FORTE; ;AV ENG ARY DE ABREU LIMA ;5;-30,02583309;-51,15105138
10/03/2020 01:58;454;JOÃO ALFREDO X; ;R. JOÃO ALFREDO ;487;-30,04127739;-51,22527749
10/03/2020 01:58;325;COUTO DE MAGALHAES X PORTUGAL; ;R GEN COUTO DE MAGALHAES ;1868;-30,01462254;-51,18298413
10/03/2020 01:58;480;HOTEL COMFORT;;AV LOUREIRO DA SILVA;1670;-30,028339;-51,228538
10/03/2020 01:58;72;SERTÓRIO X PRESIDENTE ROOSEVELT;3337-3042 ;AV SERTORIO ;473;-29,99960949;-51,20124223
10/03/2020 01:58;122;PADRE CHAGAS X LUCIANA DE ABREU;3222-7481 ;R PADRE CHAGAS ;242;-30,02489967;-51,2033609
10/03/2020 01:58;352;IRMÃO JOSE OTÃO X SANTO ANTONIO; ;R IRMAO JOSE OTAO ;540;-30,0314343;-51,2131414
10/03/2020 01:58;51;CAPITÓLIO;3224-3223 ;AV BORGES DE MEDEIROS ;1080;-30,03624387;-51,22803643
10/03/2020 01:58;63;PRAÇA PINHEIRO MACHADO X FARRAPOS; ;AV PATRIA ;613;-30,00621233;-51,20163659
10/03/2020 01:58;228;CALDAS JUNIOR X SETE DE SETEMBRO; ;R CALDAS JUNIOR ;180;-30,02999231;-51,23212543
10/03/2020 01:58;460;AV. ASSIS BRASIL X AV. FRANCISCO TREIN; ;AV. ASSIS BRASIL ;2611;-30,01090203;-51,16106251
10/03/2020 01:58;25;SAPÉ X FRANCISCO TREIN;3361 4088 ;R SAPE ;525;-30,01790526;-51,15854089
10/03/2020 01:58;61;FERNANDES VIEIRA X VASCO DA GAMA;3222-8931 ;R FERNANDES VIEIRA ;261;-30,03168769;-51,2109191
10/03/2020 01:58;79;HOSPITAL MOINHOS DE VENTO;3311-3588 ;R RAMIRO BARCELOS ;919;-30,0270643;-51,20924973
10/03/2020 01:58;201;VASCO ALVES X WASHINGTON LUIZ; ;R GEN VASCO ALVES ;490;-30,03569;-51,23758466
10/03/2020 01:58;329;CARNEIRO DA FONTOURA X ASSIS BRASIL; ;AV CARNEIRO DA FONTOURA ;28;-30,01134948;-51,16628431
10/03/2020 01:58;120;SEBASTIÃO LEÃO EM FRENTE AO HOSPITAL PORTO ALEGRE;3221-5595 ;R DR SEBASTIAO LEAO ;99;-30,04499707;-51,21720468
10/03/2020 01:58;149;DIOMARIO MOOJEN X CAMPOS VELHO; ;R DIOMARIO MOOJEN ;30;-30,09281535;-51,23690951
10/03/2020 01:58;83;KASTELÃO TERESÓPOLIS;3336-2635 ;AV TERESOPOLIS ;2888;-30,07896183;-51,20884775
10/03/2020 01:58;291;TEATRO DA OSPA; ;R GEN JOAO TELLES ;10;-30,02956654;-51,21186894
10/03/2020 01:58;353;ITABORAI X BARÃO DO AMAZONAS; ;R ITABORAI ;677;-30,05146015;-51,18696882
10/03/2020 01:58;396;SERGIO JUNGBLUT DIETRICH X SERTÓRIO; ;R SERGIO JUNGBLUT DIETERICH ;10;-29,99746453;-51,14274921
10/03/2020 01:58;478;Jerônimo Zelmanovitz x Assis Brasil;;R JERONYMO ZELMANOVITZ;60;-30,028339;-51,228538
10/03/2020 01:58;145;BOURBON COUNTRY;3328-0403 ;AV TULIO DE ROSE ;80;-30,02276442;-51,16223837
10/03/2020 01:58;351;IRMÃO JOSÉ OTÃO X THOMAS FLORES; ;R IRMAO JOSE OTAO ;190;-30,0306323;-51,21652924
10/03/2020 01:58;45;SARMENTO LEITE X LIMA E SILVA;3221-8393 ;R SARMENTO LEITE ;880;-30,03667553;-51,22332211
10/03/2020 01:58;59;PUC UNIVERSIDADE;3339-1133 ;AV IPIRANGA ;6681;-30,05811938;-51,17644177
10/03/2020 01:58;280;TANAUI DA S BOEIRA X JOÃO DE O REMIÃO;33193030;R TANAUI DA SILVA BOEIRA ;10;-30,12422025;-51,10450474
10/03/2020 01:58;434;VEADOR PORTO X IPIRANGA; ;R VEADOR PORTO ;795;-30,04896767;-51,19738148
10/03/2020 01:58;305;ASSIS BRASIL X ITARARÉ; ;AV ASSIS BRASIL ;2201;-30,01164404;-51,16543994
